City,Precipitation (mm),Summed Avg. Temp. (°C),Population,Latitude,Longitude
Magdeburg,347.6,12.96,235723,52.13,11.62
Leipzig,357.0,13.93,560472,51.33,12.38
Nürnberg,371.0,14.13,509975,49.45,11.08
Mainz,377.0,13.61,209779,50.0,8.27
Pforzheim,377.6,13.91,122247,48.9,8.72
Erfurt,384.0,12.03,210118,50.98,11.03
Dresden,387.0,14.74,543825,51.03,13.73
Berlin,396.2,13.37,3520031,52.52,13.38
Heidelberg,401.0,15.21,156267,49.42,8.72
Mannheim,401.0,15.21,305780,49.48,8.47
Potsdam,401.0,12.96,167745,52.4,13.07
Bremen,402.0,13.49,557464,53.08,8.8
Stuttgart,434.0,15.13,623738,48.78,9.18
