City Name,Venue ID,Venue Name,Venue Latitude,Venue Longitude,Venue Category,Score,Rating
Magdeburg,561a856e498ee6fc8b49cafb,Herzstück - Das Kuchenatelier,52.1337280518978,11.615928801967756,Café,8.3,9.0
Magdeburg,4dc53e2345dd2645526a7f15,Eis-Konditorei Bortscheller,52.106755595003904,11.640792489051819,Ice Cream Shop,8.4,17.0
Magdeburg,4cb5ddce1b0af04d8a64cc25,Il Capitello,52.1262569351561,11.634307406280508,Café,7.5,14.0
Leipzig,51e3cd828bbde0ebc2f0d32f,Handbrotzeit,51.341338218061445,12.378070918121681,Café,8.5,80.0
Leipzig,548137ca498eb80c2a45fc33,Espresso Zack Zack,51.332783569331475,12.40431547164917,Café,8.7,45.0
Leipzig,5b6d94b5c0cacb002c27f705,Dankbar Kaffee Leipzig,51.342186,12.361047,Café,8.4,21.0
Leipzig,4c70f60cd274b60c8336db0d,Zierlich Manierlich,51.33675566098498,12.350114009998109,Café,8.3,15.0
Leipzig,5543e389498e6aee3eb5efa5,Jimmy Orpheus,51.32509509619705,12.342429577397239,Café,8.4,37.0
Leipzig,562114a7498ed7b1847d7ef7,Brothers Bäckerei & Café,51.34551869750232,12.407019780210486,Café,8.3,27.0
Leipzig,51cef486498ef5fadbe60cca,Brühbar,51.331017,12.337832,Café,8.5,64.0
Leipzig,505337dfe4b0c6b68509d957,RöstGut,51.32522831092439,12.340946152690314,Café,8.1,17.0
Leipzig,54f33b12498ee77ce4510ecb,Café Kater,51.331513,12.338497,Café,8.2,41.0
Leipzig,5086cb15e4b00e374b8a190c,Starbucks,51.3444071705267,12.381173673297958,Café,7.7,146.0
Leipzig,4f8d86a8e4b041ba44f7ce51,Tonis,51.327446,12.345812,Ice Cream Shop,7.8,19.0
Leipzig,4c6859ab832bc928a2feb3a8,Café Krüger,51.36771889208835,12.386114811821619,Café,8.5,9.0
Nürnberg,54396666498ec2894833d6fc,Machhörndl Kaffee,49.45049733727411,11.076898188093066,Café,9.1,122.0
Nürnberg,534022b8498eafdebcd41964,Cafe Bar Katz,49.453547787019104,11.08037868330514,Café,8.6,217.0
Nürnberg,55ae396b498ee1551df31fa0,Die kleine Eismanufaktur,49.45505189410324,11.07223372744093,Ice Cream Shop,8.9,33.0
Nürnberg,4e54c59d22710ebb5a8ddacd,Rösttrommel Kaffeerösterei,49.45702028343201,11.086263362296553,Café,9.0,131.0
Nürnberg,537678e6498ee61ba45b9f96,Kaffe Hörna,49.44531487817717,11.089317343696457,Café,8.9,59.0
